Elapsed Time,Distance,Moving Time,Distance,Max Speed,Elevation Gain,Elevation Low,Elevation High,Max Grade,Average Grade
963,2.51,780,2517,6,5.076470375,125,133.1000061,45.5,-0.234406039
2008,2.78,1549,2784,4.300000191,22.04460526,132.8000031,148.8000031,49.5,0.114942528
10647,20.97,9010,20973,5.5,1073.452637,31.79999924,575,45.5,0.001430411
9748,8.72,5791,8720,5.599999905,242.2520599,235.1999969,396.2999878,49,0.008027523
1937,2.33,1452,2331.5,3.599999905,15.74504566,132,148.8000031,42.90000153,-0.042890843
4626,9.88,4081,9888.5,6.900000095,472.4440002,161.3000031,620.5999756,49.20000076,-0.058653999
6113,9.2,4842,9207,6.5,994.3099976,365.5,623.2000122,49.5,0.911262989
1570,2.04,1316,2046,3.200000048,44,128,190,36.40000153,-2.668621778
9300,3.59,5681,3594,0.899999976,883.4425659,1790,2690.699951,49.5,24.9443512
23088,9.45,4188,9453,11.19999981,1075.869751,1805.900024,3425.199951,49.59999847,-9.373744011
2636,3.18,1934,3188.199951,4.400000095,6.877724171,474.8999939,482,14.39999962,0
1156,1.91,1150,1910,3,18.54219437,133,148.8000031,42.90000153,0.005235602
4860,9.76,4402,9768,5.5,485,117.8000031,607.4000244,41.20000076,-0.006142506
787,1.31,779,1316,2.599999905,11.19494915,136.6999969,148.8000031,46.70000076,0.098784193
3212,8.14,2766,8139,5.800000191,38.30433273,127.5999985,152,46.70000076,-0.009829218
7500,19.63,7500,19633.99609,,548.6400146,,,,0
5638,11.97,5161,11975,6,582.2319336,144.6999969,466.2999878,49.5,0.002505219
3758,2.9,1968,2901,6,256,410,627,49,-2.654257059
9349,20.7,8999,20706,6.5,757.737793,269.2000122,590.2000122,49.59999847,0.030908916
5644,14.54,5469,14542,5.199999809,424.0428162,132,299.5,48.5,0.00412598
4278,9.99,4214,9994.900391,6.400000095,497.9458313,161.1000061,621,49.59999847,0
5231,10.99,3314,10998.2998,7.099999905,25.2842865,130,152,10.69999981,-0.063646197
6379,13.7,5571,13708,8.399999619,389.6265564,132.8999939,299.2999878,45.5,-0.00729501
1032,2.98,976,2981.5,11.60000038,9.004761696,127.9000015,137,6.199999809,0.204595
4453,13.48,4311,13481.59961,4.400000095,44.52994156,112.5999985,137,39.79999924,-0.048955612
485,1.16,387,1167.599976,3.799999952,0,127.0999985,128.3000031,2.400000095,0.085645773
3236,9.47,3222,9478.5,11.5,189.4059296,132,236.1999969,35.40000153,0
6938,13,4822,13008,4,201.6669312,985.2999878,1147.400024,45.5,-0.000768758
662,0.74,563,740,2.200000048,22,916.4000244,934,28.60000038,0.270270258
46537,26.26,20073,26265,9.199999809,1955.729126,1611.599976,2896.800049,50,-0.005330287
4073,8.69,3474,8691,7.599999905,222.7915497,132,243.3000031,46.29999924,0.008054309
4800,10.01,4363,10014,6,484,171,626,48.5,0.069902137
2514,8.33,2511,8331,5.699999809,26.76205254,124,132,20,-0.006001681
8343,19.25,7512,19249,6,596.1942749,132.3999939,377.2000122,49.59999847,-0.003636552
